date,forecast
2018-09-03,4612.910321288819
2018-09-04,5905.668488590235
2018-09-05,5147.809939492288
2018-09-06,4447.592375552146
2018-09-07,4800.096428602916
2018-09-08,3799.1537023264336
2018-09-09,4218.495069025503
2018-09-10,4707.067916999402
2018-09-11,4709.125979574999
2018-09-12,4455.236238727042
2018-09-13,4578.768038678827
2018-09-14,4422.894922080127
2018-09-15,4406.148596787419
2018-09-16,4500.845266296563
2018-09-17,4553.141221711951
2018-09-18,4489.209987640009
2018-09-19,4507.356755275156
2018-09-20,4494.171213584675
2018-09-21,4478.871492298689
2018-09-22,4487.145968295139
2018-09-23,4507.286210059957
2018-09-24,4496.605014614245
2018-09-25,4496.233793072279
2018-09-26,4496.63417658132
2018-09-27,4493.834873831324
2018-09-28,4492.359814513254
2018-09-29,4497.130087385892
2018-09-30,4496.3873619017695
2018-10-01,4495.503589186446
2018-10-02,4495.684266671815
